LH,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
25,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,1,1,1,1
29,0,0,0,0,0,1,2,2,3,5
30,4,4,19,18,18,22,25,9,17,19
31,5,5,22,23,23,33,36,19,35,37
32,16,17,67,68,68,81,82,32,51,55
33,20,22,95,98,98,127,133,61,73,80
34,28,28,109,117,117,128,149,69,72,99
35,52,53,145,169,166,163,217,121,97,186
36,92,102,167,190,164,172,339,254,229,407
37,190,212,233,294,240,243,519,454,405,634
38,281,335,261,303,246,259,613,637,615,839
39,391,499,413,487,398,427,699,806,752,921
40,535,598,496,618,624,734,963,1197,1137,1103
41,510,535,444,513,577,759,876,1126,1128,1026
42,567,569,477,575,712,961,1001,1207,1198,1010
43,566,508,460,552,643,992,1025,1151,1166,1004
44,635,579,543,586,603,962,977,1066,1078,936
45,616,572,551,576,682,1041,1078,1179,1210,1018
46,604,554,540,544,494,721,776,862,879,787
47,559,533,524,512,430,569,656,751,779,750
48,444,464,469,439,335,408,490,593,615,606
49,325,349,359,343,257,283,340,436,464,476
50,213,224,240,230,154,158,210,312,336,352
51,103,112,123,133,98,101,126,204,208,219
52,39,51,60,73,65,64,75,117,128,132
53,10,18,22,36,36,36,37,61,67,68
54,2,4,6,12,12,14,15,29,29,29
55,2,3,4,4,4,5,6,9,9,9
56,0,0,0,1,1,2,3,4,3,2
57,0,0,0,0,0,0,0,0,1,1
58,0,0,0,0,0,0,0,0,1,1
59,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
