LH,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,1,1
29,0,0,0,1,2,1,2,4
30,15,15,14,17,19,19,24,14
31,17,17,16,26,29,27,38,27
32,49,50,49,68,69,61,75,41
33,69,72,71,103,109,98,109,60
34,78,87,86,108,123,108,118,79
35,109,132,126,143,180,159,163,155
36,141,170,149,154,262,256,261,320
37,227,290,232,228,402,415,427,518
38,296,360,258,240,489,550,560,671
39,424,532,422,394,595,720,713,785
40,483,639,679,691,770,956,1024,1113
41,437,549,634,694,697,877,972,1050
42,478,589,753,858,796,935,1038,1133
43,467,544,697,884,797,885,1014,1086
44,534,569,706,895,784,842,926,987
45,533,561,748,936,876,935,1017,1081
46,512,530,612,719,650,696,762,788
47,475,508,555,597,566,612,684,716
48,388,433,466,457,433,495,540,564
49,287,332,352,329,311,366,415,436
50,188,215,225,205,190,259,294,305
51,95,116,124,121,113,167,184,192
52,45,60,66,64,70,100,115,118
53,16,27,32,32,32,52,62,64
54,5,9,9,11,13,24,26,26
55,3,4,5,4,5,8,8,9
56,0,1,1,1,2,3,3,3
57,0,0,0,0,0,0,1,1
58,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0
